"Venture and
growth capital",AUD billion,516,373,259,126,451,250,234,293,554,909,947,1 190,1 032,1 596,1 469,2 179
"Venture and
growth capital
(growth rate)","%, Year-
on-year
growth rate",,-27.7,-30.6,-51.3,257.9,-44.6,-6.40,25.21,89.08,64.08,4.18,25.66,-13.3,54.65,-7.96,48.33
"Leasing and
hire
purchases",AUD billion,9.25,9.28,6.73,6.55,6.90,8.75,7.34,8.77,9.86,8.89,10.14,9.71,10.04,10.53,10.33,8.95
"Factoring and
invoicing",AUD billion,54.8,64.99,63.10,58.66,61.42,63.36,63.27,62.39,64.40,..,..,..,..,..,..,..
