0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Table 22.1. Scoreboard for Italy,,,,,,,,,,,,,,,,,,,
Indicator,Unit,,2007  2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,Debt,,,,,,,,,,,,,,
"FY2021. However, they declined to JPY 293 billion in FY2024.",,,,,,,,,,,,,,,,,,,
"In regard to leasing, after an upward trend in 2019 pre-COVID, volumes decreased to JPY 2.1 trillion in",,,,,,,,,,,,,,,,,,,
2021. More recently volumes have risen to reach JPY 2.7 trillion in 2024.,,,,,,,,,,,,,,,,,,,
"SME bankruptcies, which account for more than 99% of all bankruptcies in Japan, decreased from 15 500",,,,,,,,,,,,,,,,,,,
"in 2008 to 6 000 in 2021. With COVID-19 financing support measures, the number of SME bankruptcies",,,,,,,,,,,,,,,,,,,
"was curbed at lowest level over the last 57 years. However, since then, the number of SME bankruptcies",,,,,,,,,,,,,,,,,,,
"has started to increase, and the number of SME bankruptcies reached 10 004 in 2024.",,,,,,,,,,,,,,,,,,,
"Total  non-performing  business  loans  (NPLs)  have  declined  continuously  since  FY2013,  after  having",,,,,,,,,,,,,,,,,,,
"experienced erratic movement over the FY2007-12 period. In FY2019, total NPLs decreased to JPY 10.3",,,,,,,,,,,,,,,,,,,
"trillion, followed by increases to JPY 13.5 trillion in FY2024.",,,,,,,,,,,,,,,,,,,
